	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
5802	1849	1488855	11367411	misdemeanor	drug	2012-07-19	245	4207288	31.80821917808219	F	mixed	2018-03-09	0	0	0
238	1338	9102	11366874	felony	property	2012-07-19	521	4983747	24.898630136986306	M	Black	2017-10-19	1	1	0
2486	4472	78786	11366419	misdemeanor	other	2012-07-19	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
1660	4380	56320	11358774	misdemeanor	other	2012-07-24	762	4840593	35.95890410958904	M	Black	2017-11-11	0	0	1
3254	3656	145687	11356626	misdemeanor	other	2012-07-25	817	6183350	38.347945205479455	M	Asian	2017-01-30	1	0	0
2035	509	66832	13632926	misdemeanor	property	2012-07-25	892	4100820	33.62465753424657	M	Black	2018-03-28	0	0	0
214	1337	9003	11354553	misdemeanor	violent	2012-07-25	906	6872176	33.45753424657534	F	Black	2016-07-06	0	0	0
2777	4688	84410	11351083	misdemeanor	other	2012-07-26	517	5974264	42.84109589041096	F	Black	2017-03-24	0	0	0
2772	701	84410	11351084	misdemeanor	other	2012-07-26	517	5974264	42.84109589041096	F	Black	2017-03-24	0	0	0
2752	3806	84027	11352828	misdemeanor	other	2012-07-26	607	2680535	39.26849315068493	M	Black	2018-11-18	0	0	0
6220	3104	2559192	11349979	misdemeanor	violent	2012-07-27	694	6055237	65.05205479452054	M	Black	2017-03-02	0	0	0
2048	1526	67140	11347298	felony	drug	2012-07-27	204	5670555	29.33150684931507	M	Black	2017-06-07	0	1	1
3167	3804	106675	11349816	misdemeanor	drug	2012-07-27	292	6671035	23.64109589041096	M	Black	2016-09-05	0	0	0
2913	3805	91724	11349722	misdemeanor	other	2012-07-27	618	5143947	29.24109589041096	M	Black	2017-09-21	0	0	0
6205	4451	2535391	20684588	felony	drug	2012-07-27	510	5291736	24.898630136986306	F	White	2017-08-26	1	1	0
790	6368	26596	11346329	misdemeanor	other	2012-07-28	137	7370720	46.40547945205479	M	mixed	2016-03-09	0	0	0
3076	3803	93743	11346673	misdemeanor	other	2012-07-28	640	7392722	22.873972602739727	M	Black	2016-03-03	0	0	0
6486	6369	3462861	11345267	misdemeanor	other	2012-07-29	92	6676950	71.27123287671233	M	Black	2016-09-02	0	0	0
3769	4624	336042	11341387	misdemeanor	other	2012-07-30	610	5170311	55.30684931506849	M	White	2017-09-15	0	0	0
2030	449	66832	11341319	misdemeanor	drug	2012-07-30	892	4100820	33.62465753424657	M	Black	2018-03-28	0	0	0
2034	508	66832	13582607	misdemeanor	drug	2012-07-30	892	4100820	33.62465753424657	M	Black	2018-03-28	0	0	0
5168	5901	1072559	11341182	misdemeanor	other	2012-07-31	467	6845142	55.02739726027397	M	White	2016-07-15	0	0	0
2633	4733	81823	11338350	misdemeanor	drug	2012-07-31	809	3806430	34.8986301369863	M		2018-05-07	0	0	0
3077	3809	93743	11337251	misdemeanor	other	2012-08-01	640	7392722	22.873972602739727	M	Black	2016-03-03	0	0	0
776	4190	26596	11332350	misdemeanor	property	2012-08-02	137	7370720	46.40547945205479	M	mixed	2016-03-09	0	0	0
1021	5405	29538	11327085	misdemeanor	other	2012-08-03	756	4502396	35.553424657534244	M	Black	2018-01-16	0	0	0
5798	1451	1488855	11325980	misdemeanor	drug	2012-08-03	245	4207288	31.80821917808219	F	mixed	2018-03-09	0	0	0
6440	2556	3249428	11324615	misdemeanor	other	2012-08-04	588	6650503	32.221917808219175	M	Black	2016-09-10	0	0	0
840	3558	27249	11325121	misdemeanor	violent	2012-08-04	960	6478529	22.87945205479452	M	Black	2016-11-01	0	0	0
1097	4288	33253	11324793	misdemeanor	property	2012-08-04	649	4284534	24.306849315068494	M	Black	2018-02-25	1	0	0
1002	2499	29538	11324616	misdemeanor	violent	2012-08-04	756	4502396	35.553424657534244	M	Black	2018-01-16	0	0	0
6204	4450	2535391	20685570	felony	drug	2012-08-06	510	5291736	24.898630136986306	F	White	2017-08-26	0	1	1
1765	1074	57529	11320371	misdemeanor	violent	2012-08-06	153	7224958	25.56438356164384	M	Black	2016-04-17	1	0	3
1951	507	65316	13582559	misdemeanor	violent	2012-08-06	429	6863214	36.42739726027397	M	Black	2016-07-08	1	0	0
1949	447	65316	11319949	misdemeanor	violent	2012-08-06	429	6863214	36.42739726027397	M	Black	2016-07-08	1	0	0
6203	4448	2535391	11321232	felony	drug	2012-08-06	510	5291736	24.898630136986306	F	White	2017-08-26	0	1	1
1001	2498	29538	11321201	misdemeanor	property	2012-08-06	756	4502396	35.553424657534244	M	Black	2018-01-16	0	0	0
1092	4104	33253	11318783	felony	other	2012-08-07	649	4284534	24.306849315068494	M	Black	2018-02-25	1	1	0
