	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3470	98350	6542455	misdemeanor	property	2016-10-13
3471	215578	7504516	misdemeanor	property	2016-02-04
3472	92636	6983390	misdemeanor	property	2016-06-05
3473	26258	6387100	misdemeanor	property	2016-11-26
3474	92636	7055128	misdemeanor	property	2016-05-15
3475	92636	7188003	misdemeanor	property	2016-04-28
3476	92636	7194554	misdemeanor	property	2016-04-26
3477	92636	7200723	misdemeanor	property	2016-04-23
3478	224737	7216810	misdemeanor	property	2016-04-19
3479	69058	7255033	misdemeanor	property	2016-04-10
3480	226290	7256175	misdemeanor	violent	2016-04-09
3481	92636	7277106	misdemeanor	property	2016-04-04
3482	67939	7277251	misdemeanor	property	2016-04-04
3483	228162	7542921	misdemeanor	property	2016-01-20
3484	228445	7566068	misdemeanor	drug	2016-01-14
3485	92636	4665139	misdemeanor	property	2017-12-11
3486	230874	5698616	misdemeanor	violent	2017-05-31
3487	230885	5830453	felony	property	2017-04-29
3488	230959	5045367	misdemeanor	drug	2017-10-10
3489	91611	5469330	misdemeanor	property	2017-07-24
3490	235227	6072436	misdemeanor	drug	2017-02-26
3491	230959	5389656	misdemeanor	property	2017-08-08
3492	236038	4737746	misdemeanor	violent	2017-11-29
3493	92636	5789741	misdemeanor	property	2017-05-10
3494	91690	5883395	misdemeanor	property	2017-04-17
3495	92636	5155920	misdemeanor	property	2017-09-19
3496	92826	4574366	misdemeanor	property	2017-12-30
3497	91611	4574504	misdemeanor	other	2017-12-30
3498	91690	5540459	misdemeanor	property	2017-07-07
3499	91611	5546180	misdemeanor	property	2017-07-06
3500	92636	4588296	misdemeanor	property	2017-12-27
3501	66046	6122534	misdemeanor	property	2017-02-14
3502	126282	4762793	misdemeanor	property	2017-11-24
3503	91690	5169643	misdemeanor	property	2017-09-16
3504	91611	5490784	misdemeanor	property	2017-07-18
3505	28614	4630193	misdemeanor	violent	2017-12-18
3506	242483	4674255	misdemeanor	property	2017-12-08
3507	243705	4841351	misdemeanor	property	2017-11-11
3508	92636	5182465	misdemeanor	property	2017-09-14
3509	92636	5577409	misdemeanor	property	2017-06-29
3510	69593	6166510	misdemeanor	property	2017-02-03
3511	243705	6060586	misdemeanor	property	2017-03-01
3512	92636	5034209	misdemeanor	property	2017-10-11
3513	248206	5297910	misdemeanor	property	2017-08-25
3514	92636	5212292	misdemeanor	property	2017-09-11
3515	249937	5322293	misdemeanor	violent	2017-08-21
3516	91690	5330439	misdemeanor	property	2017-08-19
3517	229544	5997738	misdemeanor	other	2017-03-18
